iso,country,gbdRegion,year,neoMR,postneoMR,age1_5MR,under5MR,neoDeaths,postneoDeaths,age1_5Deaths,under5Deaths
OMN,Oman,North Africa / Middle East,2010,6.5500002,2.1800001,.56999999,9.29,416,140,41,597
PAK,Pakistan,"Asia, South",2010,42.709999,24.32,15.35,80.330002,233424,128414,78556,440394
PAN,Panama,"Latin America, Central",2010,8.8699999,6.6100001,2.5699999,17.950001,620,462,189,1271
PER,Peru,"Latin America, Andean",2010,11.32,8.1599998,5.3299999,24.620001,6814,4924,3515,15253
PHL,Philippines,"Asia, Southeast",2010,13.31,8.5200005,7.04,28.610001,30002,19117,16565,65685
PNG,Papua New Guinea,Oceania,2010,39.32,30.43,15.17,82.68,8254,6198,2970,17422
POL,Poland,"Europe, Central",2010,4.3800001,1.58,.47999999,6.4400001,1648,597,187,2432
PRK,"Korea, Democratic People's Republic of","Asia, East",2010,21.120001,9.9099998,2.6400001,33.380001,6920,3247,877,11044
PRT,Portugal,"Europe, Western",2010,1.92,.92000002,.49000001,3.3199999,197,94,56,347
PRY,Paraguay,"Latin America, Tropical",2010,10.27,7.3400002,3.48,20.950001,1585,1130,563,3278
PSE,Occupied Palestinian Territory,North Africa / Middle East,2010,13.15,6.5999999,2.46,22.07,1991,995,382,3369
QAT,Qatar,North Africa / Middle East,2010,7.1900001,2.5899999,.74000001,10.49,117,42,11,170
ROU,Romania,"Europe, Central",2010,6.2199998,7.4400001,1.62,15.21,1307,1560,353,3219
RUS,Russian Federation,"Europe, Eastern",2010,8.1899996,4.7800002,1.59,14.5,12855,7455,2456,22766
RWA,Rwanda,"Sub-Saharan Africa, East",2010,31.950001,30.950001,43.73,102.93,13465,12599,16646,42709
SAU,Saudi Arabia,North Africa / Middle East,2010,9.5699997,4.1199999,1.35,14.98,5720,2464,872,9057
SDN,Sudan,"Sub-Saharan Africa, East",2010,30.34,24.34,40.290001,92.059998,39555,30966,50385,120906
SEN,Senegal,"Sub-Saharan Africa, West",2010,29.17,19.83,40.060001,86.540001,14037,9406,18837,42280
SGP,Singapore,"Asia Pacific, High Income",2010,1.27,.86000001,.36000001,2.5,45,31,14,90
SLB,Solomon Islands,Oceania,2010,15.8,9.7299995,4.1199999,29.379999,248,152,66,466
SLE,Sierra Leone,"Sub-Saharan Africa, West",2010,38.639999,55,52.34,139.06,8927,12433,10965,32325
SLV,El Salvador,"Latin America, Central",2010,9.25,7.6700001,2.4200001,19.219999,1157,962,337,2456
SOM,Somalia,"Sub-Saharan Africa, East",2010,32.639999,37.349998,45.740002,111.37,13328,14883,17405,45616
SRB,Serbia,"Europe, Central",2010,2.74,.98000002,.31999999,4.04,310,112,40,462
STP,Sao Tome and Principe,"Sub-Saharan Africa, West",2010,21.23,18.41,23.85,62.16,109,92,118,319
SUR,Suriname,Caribbean,2010,19.450001,11.42,5.04,35.529999,189,110,50,348
SVK,Slovakia,"Europe, Central",2010,3.75,2.23,.67000002,6.6399999,210,125,38,372
SVN,Slovenia,"Europe, Central",2010,2.05,.79000002,.37,3.2,41,16,8,64
SWE,Sweden,"Europe, Western",2010,1.54,.86000001,.27000001,2.6800001,168,93,30,292
SWZ,Swaziland,"Sub-Saharan Africa, Southern",2010,22.9,43.5,38.27,101.17,809,1527,1309,3645
SYC,Seychelles,"Asia, Southeast",2010,8.2399998,3.0899999,1.22,12.51,22,9,4,35
SYR,Syrian Arab Republic,North Africa / Middle East,2010,7.6700001,2.9300001,.86000001,11.44,4599,1763,560,6922
TCD,Chad,"Sub-Saharan Africa, West",2010,41.529999,53.52,83.629997,168.69,21454,26440,38242,86136
TGO,Togo,"Sub-Saharan Africa, West",2010,30.059999,24.030001,40.200001,91.419998,6526,5110,8368,20004
THA,Thailand,"Asia, Southeast",2010,6.48,1.77,.64999998,8.8800001,6329,1737,708,8775
TJK,Tajikistan,"Asia, Central",2010,21.559999,21.33,7.6300001,49.73,4266,4226,1504,9995
TKM,Turkmenistan,"Asia, Central",2010,13.67,8.9899998,3.5899999,26.040001,1524,1029,466,3019
TLS,Timor-Leste,"Asia, Southeast",2010,26.77,20.74,17.040001,63.200001,1261,956,746,2963
TON,Tonga,Oceania,2010,10.83,6.0999999,2.3699999,19.209999,30,17,7,53
TTO,Trinidad and Tobago,Caribbean,2010,17.360001,5.7800002,2.46,25.440001,347,116,50,514
TUN,Tunisia,North Africa / Middle East,2010,9.3800001,4.2399998,1.63,15.19,1567,712,303,2582
TUR,Turkey,North Africa / Middle East,2010,16.389999,9.6899996,3.3499999,29.18,22038,13080,4847,39965
TWN,"Taiwan, Province of China","Asia, East",2010,3.6199999,1.97,.61000001,6.1900001,737,400,125,1262
TZA,"Tanzania, United Republic of","Sub-Saharan Africa, East",2010,28.309999,37.490002,36.029999,98.440002,52337,67095,59854,179286
UGA,Uganda,"Sub-Saharan Africa, East",2010,31.93,40.540001,48.970001,116.65,49060,60306,67439,176806
UKR,Ukraine,"Europe, Eastern",2010,9.8699999,3.6900001,1.99,15.49,4689,1737,905,7331
URY,Uruguay,"Latin America, Southern",2010,6.21,4.4499998,.88,11.5,309,222,46,576
USA,United States,"North America, High Income",2010,3.9300001,2.1500001,.60000002,6.6799998,17410,9517,2759,29686
UZB,Uzbekistan,"Asia, Central",2010,17.85,15.84,10.47,43.529999,10069,8863,5808,24740
VCT,Saint Vincent and the Grenadines,Caribbean,2010,13.11,7.2199998,3.03,23.190001,25,14,6,45
VEN,Venezuela,"Latin America, Central",2010,9.2600002,5.4400001,1.4299999,16.059999,5566,3261,901,9727
VNM,Viet Nam,"Asia, Southeast",2010,8.3299999,2.48,2.1199999,12.88,12314,3655,3246,19215
VUT,Vanuatu,Oceania,2010,12.73,7.4400001,2.99,23.01,92,54,22,168
WSM,Samoa,Oceania,2010,10.55,5.8499999,2.3099999,18.610001,42,23,10,76
YEM,Yemen,North Africa / Middle East,2010,27.799999,21.25,12.11,59.98,24347,18479,10540,53366
ZAF,South Africa,"Sub-Saharan Africa, Southern",2010,16.32,22.85,12.61,50.919998,17655,24776,14513,56944
ZMB,Zambia,"Sub-Saharan Africa, East",2010,28.5,41.099998,54.049999,118.77,15799,22060,27248,65107
ZWE,Zimbabwe,"Sub-Saharan Africa, Southern",2010,22.610001,24.450001,25.09,70.43,8633,9176,9293,27102
